"key","displayName","scientificName","familyOrCropGroup","growthForm","patternType","modelType","referenceZoneCode","startMonth","startDay","durationDays","triggerSignals","supportsHemisphereShift","supportsUsdaShift","pollinationRequirement","selfCompatibility","pollinationMode","preferredLearningSignals","researchStatus","researchNoteId","lastReviewedDate","uncertaintyNote","checklist_identityCaptured","checklist_aliasesReviewed","checklist_patternChosen","checklist_modelChosen","checklist_baselineTimingRecorded","checklist_pollinationDecisionRecorded","checklist_uncertaintyLogged","checklist_researchNoteLinked","checklist_cultivarAuditStarted","checklist_testsPresent","checklist_status","timedCultivarCount","catalogOnlyCultivarCount","pollinationOverrideCultivarCount"
"abiu","Abiu","Pouteria caimito","Sapotaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","5","1","92","spring_heat|warm_season","true","true","UNKNOWN","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Florida flowering behavior is documented better than pollination biology; keep the fertility default conservative.","true","true","true","true","true","true","true","true","true","true","reviewed","2","0","0"
"ambarella","Ambarella (June plum)","Spondias dulcis","Anacardiaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","4","1","92","spring_heat|warm_season","true","true","UNKNOWN","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Ambarella seasonality is clearer than its backyard fertility behavior, so the app should keep the pollination default conservative.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"apple","Apple","Malus domestica","Rosaceae / pome fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","4","5","12","chill|spring_heat","true","true","NEEDS_CROSS_POLLINATION","SELF_STERILE","HAND_HELPFUL","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Apple bloom is usually well-behaved seasonally, but chill fulfillment and cultivar overlap vary enough that local history should outrank the generic window.","true","true","true","true","true","true","true","true","true","true","reviewed","27","0","1"
"apricot","Apricot","Prunus armeniaca","Rosaceae / stone fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","8","10","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","stonefruit-bloom-research.md","2026-03-30","Apricots bloom very early, so frost and chill differences can matter more than the nominal catalog dates.","true","true","true","true","true","true","true","true","true","false","reviewed","4","0","0"
"asian pear","Asian Pear","Pyrus pyrifolia","Rosaceae / pome fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","27","10","chill|spring_heat","true","true","NEEDS_CROSS_POLLINATION","SELF_STERILE","HAND_HELPFUL","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Asian pear bloom is usually spring-early, but reliable fruit set depends heavily on compatible pollinizers and overlap rather than the generic date window alone.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"atemoya","Atemoya","Annona x atemoya","Annonaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","4","1","105","spring_heat|warm_season","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Natural set can be weak. Hand pollination or strong beetle activity often improves crops.","true","true","true","true","true","true","true","true","true","true","reviewed","6","0","1"
"avocado","Avocado","Persea americana","Lauraceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10a","3","1","45","spring_heat|warm_season","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Single trees can fruit, but A/B bloom overlap and nearby pollinizers often improve set.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"banana","Banana","Musa spp.","Musaceae","herbaceous","CONTINUOUS","MANUAL_ONLY","10b","5","1","90","warm_season","false","false","POLLINATION_NOT_REQUIRED","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Edible bananas are best treated as continuously active rather than date-precise bloomers, because flowering depends more on plant age and heat than a stable annual window.","true","true","true","true","true","true","true","true","true","true","reviewed","24","0","0"
"barbados cherry","Barbados Cherry","Malpighia emarginata","Malpighiaceae","shrub","MULTI_WAVE","TROPICAL_REPEAT","10b","4","1","210","warm_season|rainfall","false","false","SELF_FERTILE_CROSS_BENEFITS","SELF_FERTILE","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","barbados-cherry-research.md","2026-03-30","Acerola can flower in repeated warm-season flushes, so the model is more useful for watch windows than exact dates.","true","true","true","true","true","true","true","true","true","true","reviewed","29","0","1"
"black sapote","Black Sapote","Diospyros digyna","Ebenaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","3","15","170","spring_heat|warm_season","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","black-sapote-research.md","2026-03-30","Black sapote fertility and flowering behavior vary by cultivar, so both pollination guidance and timing should stay conservative.","true","true","true","true","true","true","true","true","true","true","reviewed","7","0","0"
"blackberry","Blackberry","Rubus spp.","Rosaceae / cane berry","cane","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","5","12","20","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Most blackberries are self-fruitful, but the species row is still a broad caneberry baseline rather than a cultivar-perfect fertility model.","true","true","true","true","true","true","true","true","true","true","reviewed","0","8","0"
"blueberry","Blueberry","Vaccinium spp.","Ericaceae / berry","shrub","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","29","18","chill|spring_heat","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Rabbiteye and highbush bloom overlap is not uniform, so cross-pollination guidance is stronger than the generic species timing.","true","true","true","true","true","true","true","true","true","false","reviewed","34","0","0"
"caimito","Caimito (star apple)","Chrysophyllum cainito","Sapotaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","8","1","92","spring_heat|warm_season","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Some cultivars can set alone, while others benefit from or require cross-pollination.","true","true","true","true","true","true","true","true","true","true","reviewed","2","0","2"
"canistel","Canistel","Pouteria campechiana","Sapotaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","1","15","165","spring_heat|warm_season","true","true","SELF_FERTILE_CROSS_BENEFITS","SELF_FERTILE","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","canistel-research.md","2026-03-30","Canistel bloom timing is seasonally useful, but set and flowering intensity still vary enough that the baseline should stay coarse.","true","true","true","true","true","true","true","true","true","true","reviewed","9","0","0"
"cashew","Cashew (cashew apple)","Anacardium occidentale","Anacardiaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","4","1","60","spring_heat|warm_season","true","true","NEEDS_CROSS_POLLINATION","SELF_STERILE","HAND_HELPFUL","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Cashew bloom timing is usable as a seasonal cue, but cultivar fertility behavior is mixed enough that the app should keep both pollination and countdown precision conservative.","true","true","true","true","true","true","true","true","true","true","reviewed","2","0","0"
"citrus","Citrus","Citrus spp.","Citrus","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","9b","3","6","25","spring_heat|warm_season","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","citrus-bloom-research.md","2026-03-30","Useful as a generic fallback, but citrus bloom behavior diverges by type; lemons and limes rebloom more than sweet orange, mandarin, or grapefruit.","true","true","true","true","true","true","true","true","true","false","reviewed","0","0","0"
"coconut","Coconut","Cocos nucifera","Arecaceae","palm","CONTINUOUS","MANUAL_ONLY","10b","1","1","365","warm_season","false","false","UNKNOWN","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Coconut flowering is effectively continuous in warm climates and fertility varies by dwarf, tall, and hybrid types, so exact timing and a single species-wide pollination rule would both be misleading.","true","true","true","true","true","true","true","true","true","true","reviewed","8","0","5"
"dragon fruit","Dragon Fruit","Selenicereus spp.","Cactaceae","vine","MULTI_WAVE","WARM_SEASON_PHOTOPERIOD","10a","6","1","70","warm_season|photoperiod","false","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","strong","pollination-research.md","2026-03-30","Pollination coverage is strong, but cultivar bloom timing still varies by climate and repeat-wave behavior; local history should outrank the catalog window.","true","true","true","true","true","true","true","true","true","true","strong","100","0","96"
"fig","Fig","Ficus carica","Moraceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","8a","5","10","20","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","The app models common figs for home growers, not the full Smyrna and caprification system, so the species baseline is intentionally narrow in scope.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"grape","Grape","Vitis spp.","Vitaceae","vine","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","5","20","12","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","The baseline mostly fits bunch grapes, while muscadine and wild-grape fertility behavior can differ enough that the species row stays intentionally broad.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"grapefruit","Grapefruit","Citrus x paradisi","Citrus","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","9b","3","8","24","spring_heat|warm_season","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","citrus-bloom-research.md","2026-03-30","Grapefruit and pummelo bloom is mostly spring-centered, but hybrid lines can drift earlier or later than the baseline.","true","true","true","true","true","true","true","true","true","false","reviewed","10","0","0"
"green sapote","Green Sapote","Pouteria viridis","Sapotaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","2","15","75","spring_heat|warm_season","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","green-sapote-research.md","2026-03-30","Green sapote is less consistently documented than white or mamey sapote, so the catalog season should be treated as a coarse baseline.","true","true","true","true","true","true","true","true","true","true","reviewed","2","0","0"
"guava","Guava","Psidium guajava","Myrtaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10a","4","20","30","spring_heat|warm_season","true","true","SELF_FERTILE_CROSS_BENEFITS","SELF_FERTILE","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Self-pollination occurs, but insect cross-pollination often improves yield and fruit quality.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"jaboticaba","Jaboticaba","Plinia spp.","Myrtaceae","tree","MULTI_WAVE","TROPICAL_REPEAT","10b","3","15","60","warm_season|rainfall","true","true","UNKNOWN","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Jaboticaba is better modeled as a repeat bloomer than a single seasonal tree, but species-level fertility guidance is still too thin for a stronger claim.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"jackfruit","Jackfruit","Artocarpus heterophyllus","Moraceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","1","20","55","spring_heat|warm_season","true","true","SELF_FERTILE_CROSS_BENEFITS","SELF_FERTILE","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","jackfruit-research.md","2026-03-30","Warm-climate bloom can stretch in multiple flushes, and pollination biology is documented less cleanly than the cultivar list.","true","true","true","true","true","true","true","true","true","true","reviewed","42","0","0"
"jamaican cherry","Jamaican Cherry","Muntingia calabura","Muntingiaceae","tree","CONTINUOUS","TROPICAL_REPEAT","10b","3","1","240","warm_season|rainfall","false","false","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","jamaican-cherry-research.md","2026-03-30","Jamaican cherry can flower almost continuously in warm climates, so exact countdowns would be fake precision.","true","true","true","true","true","true","true","true","true","true","reviewed","2","0","0"
"lemon","Lemon","Citrus limon","Citrus","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","9b","3","1","32","spring_heat|warm_season","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","citrus-bloom-research.md","2026-03-30","Many lemons can flower outside the main spring flush, so the catalog window should be treated as the main bloom period, not the only one.","true","true","true","true","true","true","true","true","true","true","reviewed","16","0","0"
"lime","Lime","Citrus spp.","Citrus","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","9b","3","6","34","spring_heat|warm_season","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","citrus-bloom-research.md","2026-03-30","Limes often rebloom in warm climates, so the baseline is best used for the primary spring flush rather than exact year-round timing.","true","true","true","true","true","true","true","true","true","true","reviewed","7","0","0"
"longan","Longan","Dimocarpus longan","Sapindaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","2","25","70","spring_heat|warm_season","true","true","SELF_FERTILE_CROSS_BENEFITS","SELF_FERTILE","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Longan flowering depends heavily on cool, dry-season conditions, so the species baseline should stay seasonal but not overly precise.","true","true","true","true","true","true","true","true","true","true","reviewed","6","0","0"
"loquat","Loquat","Eriobotrya japonica","Rosaceae / pome fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","9b","11","20","45","spring_heat|warm_season","true","true","SELF_FERTILE_CROSS_BENEFITS","SELF_FERTILE","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Winter blooming is stable, but cross-pollination can improve fruit set and size.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"lychee","Lychee","Litchi chinensis","Sapindaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10a","2","20","20","spring_heat|warm_season","true","true","SELF_FERTILE_CROSS_BENEFITS","SELF_FERTILE","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","lychee-bloom-research.md","2026-03-30","Bloom induction depends heavily on local cool-season conditions, and cultivar fruit set can vary even when flowering looks strong.","true","true","true","true","true","true","true","true","true","true","reviewed","3","0","1"
"mamey sapote","Mamey Sapote","Pouteria sapota","Sapotaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","6","1","275","spring_heat|warm_season","true","true","SELF_FERTILE_CROSS_BENEFITS","SELF_FERTILE","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","mamey-sapote-research.md","2026-03-30","Mamey sapote bloom and fruiting cycles are long and climate-sensitive, so local observation history should outrank the generic season.","true","true","true","true","true","true","true","true","true","true","reviewed","18","0","0"
"mamoncillo","Mamoncillo","Melicoccus bijugatus","Sapindaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","4","1","61","spring_heat|warm_season","true","true","NEEDS_CROSS_POLLINATION","SELF_STERILE","HAND_HELPFUL","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Often treated as functionally dioecious in backyard use; avoid assuming a lone tree will crop well.","true","true","true","true","true","true","true","true","true","true","reviewed","3","0","0"
"mandarin","Mandarin","Citrus spp.","Citrus","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","9a","3","5","22","spring_heat|warm_season","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","citrus-bloom-research.md","2026-03-30","Mandarin, tangelo, and tangor bloom overlap varies by hybrid background, so cultivar phase is more trustworthy than one shared species window.","true","true","true","true","true","true","true","true","true","false","reviewed","54","0","0"
"mango","Mango","Mangifera indica","Anacardiaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","12","1","150","spring_heat|warm_season","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Mango usually blooms in one main annual flush, but bloom strength and set still move with weather, pollinator activity, and local cultivar behavior.","true","true","true","true","true","true","true","true","true","true","reviewed","0","51","0"
"mulberry","Mulberry","Morus spp.","Moraceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","4","15","14","chill|spring_heat","true","true","UNKNOWN","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Mulberries range from dioecious to self-fruitful depending on species and cultivar, so the shared species baseline is intentionally conservative.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"nectarine","Nectarine","Prunus persica","Rosaceae / stone fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","18","12","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","stonefruit-bloom-research.md","2026-03-30","Nectarines usually track peach-like spring bloom, but low-chill behavior and frost exposure can still move the real window.","true","true","true","true","true","true","true","true","true","false","reviewed","10","0","0"
"orange","Orange","Citrus spp.","Citrus","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","9b","3","10","24","spring_heat|warm_season","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","citrus-bloom-research.md","2026-03-30","Sweet oranges usually have one main spring bloom, but local climate and stress can still create lighter off-cycle flowering.","true","true","true","true","true","true","true","true","true","true","reviewed","32","0","0"
"papaya","Papaya","Carica papaya","Caricaceae","herbaceous","CONTINUOUS","TROPICAL_REPEAT","10b","4","1","90","warm_season|rainfall","false","false","UNKNOWN","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","papaya-research.md","2026-03-30","Sex expression and planting type drive papaya fruit set more than cultivar name alone, so the species model should stay coarse and history-led.","true","true","true","true","true","true","true","true","true","true","reviewed","34","0","27"
"passionfruit","Passionfruit","Passiflora edulis","Passifloraceae","vine","MULTI_WAVE","TROPICAL_REPEAT","10b","3","15","260","warm_season|rainfall","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","passion-fruit-research.md","2026-03-30","Purple, yellow, and hybrid passionfruit lines do not share one fertility rule, and pruning plus climate can shift repeat flush timing.","true","true","true","true","true","true","true","true","true","true","reviewed","40","0","36"
"peach","Peach","Prunus persica","Rosaceae / stone fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","20","12","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","stonefruit-bloom-research.md","2026-03-30","Peach bloom is strongly affected by chill completion and frost timing, so the catalog window is best treated as a seasonal expectation, not a guarantee.","true","true","true","true","true","true","true","true","true","false","reviewed","33","0","0"
"pear","Pear","Pyrus communis","Rosaceae / pome fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","30","10","chill|spring_heat","true","true","NEEDS_CROSS_POLLINATION","SELF_STERILE","HAND_HELPFUL","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Pear bloom timing is broadly spring-centered, but cultivar overlap and pollinizer compatibility vary enough that the species baseline should stay coarse.","true","true","true","true","true","true","true","true","true","true","reviewed","6","0","0"
"persimmon","Persimmon","Diospyros spp.","Ebenaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7b","5","15","14","chill|spring_heat","true","true","UNKNOWN","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","American and Oriental persimmons do not share one fertility rule, so the generic persimmon row should stay cautious about both timing and pollination.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"pineapple","Pineapple","Ananas comosus","Bromeliaceae","herbaceous","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","2","15","75","spring_heat|warm_season","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pineapple-research.md","2026-03-30","Pineapple flowering can be induced and staggered by stress or management, so the catalog window is only a broad seasonal cue.","true","true","true","true","true","true","true","true","true","true","reviewed","29","0","0"
"plum","Plum","Prunus spp.","Rosaceae / stone fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","18","12","chill|spring_heat","true","true","UNKNOWN","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","stonefruit-bloom-research.md","2026-03-30","Japanese and European plum groups do not share identical bloom behavior, so the unlabeled species row stays intentionally coarse.","true","true","true","true","true","true","true","true","true","true","reviewed","8","0","8"
"pomegranate","Pomegranate","Punica granatum","Lythraceae","shrub","SINGLE_ANNUAL","CLIMATE_WINDOW","8b","5","8","18","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Pomegranates are usually self-fruitful, but insect activity and climate still move set quality enough that the bloom window should stay approximate.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"raspberry","Raspberry","Rubus spp.","Rosaceae / cane berry","cane","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","5","10","18","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Raspberries are generally self-fruitful, but cane type and cross-pollination can still change crop size more than the simple species baseline implies.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"saccharum spp.","Sugarcane (cultivated hybrid complex)","Saccharum spp.","Poaceae","cane","SUPPRESSED","MANUAL_ONLY","10b","1","1","30","warm_season","false","false","UNKNOWN","UNKNOWN","UNKNOWN","","reviewed","sugar-cane-research.md","2026-03-30","Cultivated sugar cane is usually grown vegetatively and flowering is often suppressed, so bloom forecasting is intentionally de-emphasized here.","true","true","true","true","true","true","true","true","true","true","reviewed","15","0","0"
"sapodilla","Sapodilla","Manilkara zapota","Sapotaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","4","1","45","spring_heat|warm_season","true","true","UNKNOWN","UNKNOWN","UNKNOWN","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Pollination detail is inconsistent across sources; keep timing coarse and let local history outrank the baseline.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"sour cherry","Sour Cherry","Prunus cerasus","Rosaceae / stone fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","28","10","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","stonefruit-bloom-research.md","2026-03-30","Sour cherries are commonly self-fruitful, but spring weather and nearby pollinizers can still shift the real crop quality away from the nominal bloom lane.","true","true","true","true","true","true","true","true","true","true","reviewed","1","0","0"
"soursop","Soursop","Annona muricata","Annonaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","4","1","90","spring_heat|warm_season","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tropical-catalog-backfill-research.md","2026-03-30","Soursop flowering is warm-season driven, but pollination detail and flush strength still vary enough that the generic window should stay conservative.","true","true","true","true","true","true","true","true","true","true","reviewed","4","0","0"
"star fruit","Star Fruit","Averrhoa carambola","Oxalidaceae","tree","MULTI_WAVE","TROPICAL_REPEAT","10b","4","15","50","warm_season|rainfall","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","star-fruit-research.md","2026-03-30","Star fruit often flowers in repeated flushes, but cultivar fertility and flush strength vary enough that local observations should outrank the baseline.","true","true","true","true","true","true","true","true","true","true","reviewed","25","0","8"
"strawberry","Strawberry","Fragaria x ananassa","Rosaceae / berry","herbaceous","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","4","10","25","chill|spring_heat","true","true","SELF_FERTILE","SELF_FERTILE","SELF_POLLINATING","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","pome-berry-bloom-research.md","2026-03-30","Cultivated strawberries are self-fertile, but pollinator activity still affects berry fullness enough that the seasonal window should stay coarse.","true","true","true","true","true","true","true","true","true","true","reviewed","0","0","0"
"sugar apple","Sugar Apple","Annona squamosa","Annonaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","3","15","95","spring_heat|warm_season","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","sugar-apple-research.md","2026-03-30","Natural set can be weak and hand pollination often changes outcomes, so the species window is more useful as a watch period than a precise forecast.","true","true","true","true","true","true","true","true","true","true","reviewed","28","0","1"
"sweet cherry","Sweet Cherry","Prunus avium","Rosaceae / stone fruit","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","7a","3","24","10","chill|spring_heat","true","true","NEEDS_CROSS_POLLINATION","SELF_STERILE","HAND_HELPFUL","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","stonefruit-bloom-research.md","2026-03-30","Most sweet cherries need pollinizers, but self-fertile exceptions and regional chill differences make the generic bloom lane intentionally conservative.","true","true","true","true","true","true","true","true","true","false","reviewed","5","0","2"
"tamarind","Tamarind","Tamarindus indica","Fabaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","5","15","100","spring_heat|warm_season","true","true","NEEDS_CROSS_POLLINATION","SELF_STERILE","HAND_HELPFUL","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","tamarind-research.md","2026-03-30","Pollination guidance is stronger than the exact bloom calendar here; warm-season timing can still drift by climate and tree vigor.","true","true","true","true","true","true","true","true","true","true","reviewed","25","0","0"
"white sapote","White Sapote","Casimiroa edulis","Rutaceae","tree","SINGLE_ANNUAL","CLIMATE_WINDOW","10b","11","15","170","spring_heat|warm_season","true","true","CROSS_POLLINATION_RECOMMENDED","PARTIAL","INSECT","BUD|BLOOM|FRUIT_SET|HARVEST","reviewed","white-sapote-research.md","2026-03-30","Pollination is cultivar-dependent and sources conflict, so the long bloom season should be treated as a coarse watch window.","true","true","true","true","true","true","true","true","true","true","reviewed","13","0","6"
